id,screen_location,content_key,component_type,russian_text,hebrew_text,english_text
3450,"credit_income_employed","credit_income_employed.item_1","text","","",""
3451,"credit_income_employed","credit_income_employed.item_2","text","","",""
3452,"credit_income_employed","credit_income_employed.item_3","text","","",""
3453,"credit_income_employed","credit_income_employed.item_4","text","","",""
3454,"credit_income_employed","credit_income_employed.item_5","text","","",""
3455,"credit_income_employed","credit_income_employed.item_6","text","","",""
3456,"credit_income_employed","credit_income_employed.item_7","text","","",""
3457,"credit_income_employed","credit_income_employed.item_8","text","","",""
3458,"credit_income_employed","credit_income_employed.item_9","text","","",""
3459,"credit_income_employed","credit_income_employed.item_10","text","","",""
3460,"credit_income_employed","credit_income_employed.item_11","text","","",""
3461,"credit_income_employed","credit_income_employed.item_12","text","","",""
3462,"credit_income_employed","credit_income_employed.item_13","text","","",""
3463,"credit_income_employed","credit_income_employed.item_14","text","","",""
3464,"credit_income_employed","credit_income_employed.item_15","text","","",""
3465,"credit_income_employed","credit_income_employed.item_16","text","","",""
3466,"credit_income_employed","credit_income_employed.item_17","text","","",""
3467,"credit_income_employed","credit_income_employed.item_18","text","","",""
3468,"credit_income_employed","credit_income_employed.item_19","text","","",""
3469,"credit_income_employed","credit_income_employed.item_20","text","","",""
3470,"credit_income_employed","credit_income_employed.item_21","text","","",""
3471,"credit_income_employed","credit_income_employed.item_22","text","","",""
3389,"credit_personal_data","credit_personal_data.item_1","text","","",""
3390,"credit_personal_data","credit_personal_data.item_2","text","","",""
3391,"credit_personal_data","credit_personal_data.item_3","text","","",""
3392,"credit_personal_data","credit_personal_data.item_4","text","","",""
3393,"credit_personal_data","credit_personal_data.item_5","text","","",""
3394,"credit_personal_data","credit_personal_data.item_6","text","","",""
3395,"credit_personal_data","credit_personal_data.item_7","text","","",""
3396,"credit_personal_data","credit_personal_data.item_8","text","","",""
3397,"credit_personal_data","credit_personal_data.item_9","text","","",""
3398,"credit_personal_data","credit_personal_data.item_10","text","","",""
3399,"credit_personal_data","credit_personal_data.item_11","text","","",""
3400,"credit_personal_data","credit_personal_data.item_12","text","","",""
3401,"credit_personal_data","credit_personal_data.item_13","text","","",""
3402,"credit_personal_data","credit_personal_data.item_14","text","","",""
3403,"credit_personal_data","credit_personal_data.item_15","text","","",""
3404,"credit_personal_data","credit_personal_data.item_16","text","","",""
3405,"credit_personal_data","credit_personal_data.item_17","text","","",""
3406,"credit_personal_data","credit_personal_data.item_18","text","","",""
3407,"credit_personal_data","credit_personal_data.item_19","text","","",""
3408,"credit_personal_data","credit_personal_data.item_20","text","","",""
3409,"credit_personal_data","credit_personal_data.item_21","text","","",""
3410,"credit_personal_data","credit_personal_data.item_22","text","","",""
3411,"credit_personal_data","credit_personal_data.item_23","text","","",""
4072,"credit_refi_account_locked_modal","credit_refi_account_locked_modal.item_1","button","","",""
4073,"credit_refi_account_locked_modal","credit_refi_account_locked_modal.item_2","button","","",""
4074,"credit_refi_account_locked_modal","credit_refi_account_locked_modal.item_3","title","","",""
4075,"credit_refi_account_locked_modal","credit_refi_account_locked_modal.item_4","title","","",""
3799,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_1","text","","",""
3800,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_2","text","","",""
3801,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_3","text","","",""
3802,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_4","text","","",""
3803,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_5","text","","",""
3804,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_6","text","","",""
3805,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_7","text","","",""
3806,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_8","text","","",""
3807,"credit_refi_coborrower_income","credit_refi_coborrower_income.item_9","text","","",""
