item_id,content_key,language,current_value,suggested_value
2853,"account_settings.title","ru","[RU] Title",""
2854,"account_settings.localization_settings","ru","[RU] Localization Settings",""
2856,"account_settings.security_settings","ru","[RU] Security Settings",""
2857,"account_settings.language_label","ru","[RU] Language Label",""
2858,"account_settings.theme_label","ru","[RU] Theme Label",""
2859,"account_settings.currency_label","ru","[RU] Currency Label",""
2860,"account_settings.timezone_label","ru","[RU] Timezone Label",""
2863,"account_settings.two_factor_auth","ru","[RU] Two Factor Auth",""
2865,"account_settings.setup2FA_modal_title","ru","[RU] Setup2FA Modal Title",""
3512,"credit_loading_screen.item_1","en","[EN] Item 1",""
3512,"credit_loading_screen.item_1","he","[HE] Item 1",""
3512,"credit_loading_screen.item_1","ru","[RU] Item 1",""
3513,"credit_loading_screen.item_2","en","[EN] Item 2",""
3513,"credit_loading_screen.item_2","he","[HE] Item 2",""
3513,"credit_loading_screen.item_2","ru","[RU] Item 2",""
3557,"credit_login_page.item_1","en","[EN] credit login page.item 1",""
3557,"credit_login_page.item_1","he","[HE] credit login page.item 1",""
3557,"credit_login_page.item_1","ru","[RU] credit login page.item 1",""
3558,"credit_login_page.item_2","en","[EN] credit login page.item 2",""
3558,"credit_login_page.item_2","he","[HE] credit login page.item 2",""
3558,"credit_login_page.item_2","ru","[RU] credit login page.item 2",""
3559,"credit_login_page.item_3","en","[EN] credit login page.item 3",""
3559,"credit_login_page.item_3","he","[HE] credit login page.item 3",""
3559,"credit_login_page.item_3","ru","[RU] credit login page.item 3",""
3560,"credit_login_page.item_4","en","[EN] credit login page.item 4",""
3560,"credit_login_page.item_4","he","[HE] credit login page.item 4",""
3560,"credit_login_page.item_4","ru","[RU] credit login page.item 4",""
3561,"credit_login_page.item_5","en","[EN] credit login page.item 5",""
